OLIDA ID	FINALmeta
OLI001	2
OLI002	1
OLI003	1
OLI004	0
OLI005	0
OLI006	0
OLI007	3
OLI008	2
OLI009	3
OLI010	3
OLI011	3
OLI012	3
OLI013	1
OLI014	2
OLI015	1
OLI016	1
OLI017	0
OLI018	1
OLI019	1
OLI020	0
OLI021	2
OLI022	1
OLI023	1
OLI024	2
OLI025	0
OLI026	2
OLI027	3
OLI028	2
OLI029	0
OLI030	1
OLI031	2
OLI032	2
OLI033	1
OLI034	0
OLI035	2
OLI036	2
OLI037	0
OLI038	1
OLI039	3
OLI040	2
OLI041	0
OLI042	0
OLI043	0
OLI044	3
OLI045	0
OLI046	2
OLI047	3
OLI048	2
OLI049	0
OLI050	2
OLI051	2
OLI052	1
OLI053	1
OLI054	0
OLI055	1
OLI056	0
OLI057	0
OLI058	1
OLI059	0
OLI060	0
OLI061	0
OLI062	1
OLI063	0
OLI064	0
OLI065	1
OLI066	0
OLI067	1
OLI068	2
OLI069	0
OLI070	0
OLI071	0
OLI072	0
OLI073	0
OLI074	3
OLI075	2
OLI076	3
OLI077	2
OLI078	1
OLI079	0
OLI080	2
OLI081	3
OLI082	2
OLI083	0
OLI084	0
OLI085	0
OLI086	0
OLI087	0
OLI088	0
OLI089	0
OLI090	1
OLI091	1
OLI092	0
OLI093	1
OLI094	0
OLI095	0
OLI096	3
OLI097	2
OLI098	0
OLI099	1
OLI100	1
OLI101	0
OLI102	0
OLI103	0
OLI104	1
OLI105	0
OLI106	0
OLI107	0
OLI108	0
OLI109	1
OLI110	1
OLI111	3
OLI112	0
OLI113	1
OLI114	0
OLI115	2
OLI116	3
OLI117	3
OLI118	2
OLI119	1
OLI120	2
OLI121	1
OLI122	1
OLI123	3
OLI124	0
OLI125	1
OLI126	3
OLI127	1
OLI128	0
OLI129	0
OLI130	1
OLI131	1
OLI132	0
OLI133	1
OLI134	1
OLI135	1
OLI136	1
OLI137	0
OLI138	0
OLI139	0
OLI140	0
OLI141	0
OLI142	0
OLI143	0
OLI144	0
OLI145	0
OLI146	1
OLI147	1
OLI148	0
OLI149	1
OLI150	0
OLI151	2
OLI152	1
OLI153	2
OLI154	1
OLI155	0
OLI156	2
OLI157	1
OLI158	0
OLI159	1
OLI160	1
OLI161	1
OLI162	1
OLI163	1
OLI164	1
OLI165	1
OLI166	2
OLI167	0
OLI168	1
OLI169	1
OLI170	0
OLI171	1
OLI172	1
OLI173	0
OLI174	1
OLI175	0
OLI176	0
OLI177	0
OLI178	3
OLI179	3
OLI180	1
OLI181	1
OLI182	2
OLI183	1
OLI184	0
OLI185	1
OLI186	2
OLI187	2
OLI188	2
OLI189	2
OLI190	1
OLI191	2
OLI192	2
OLI193	0
OLI194	0
OLI195	1
OLI196	0
OLI197	2
OLI198	1
OLI199	3
OLI200	3
OLI201	0
OLI202	3
OLI203	2
OLI204	0
OLI205	1
OLI206	1
OLI207	0
OLI208	0
OLI209	2
OLI210	3
OLI211	1
OLI212	0
OLI213	0
OLI214	1
OLI215	0
OLI216	0
OLI217	0
OLI218	1
OLI219	2
OLI220	1
OLI221	1
OLI222	3
OLI223	3
OLI224	1
OLI225	1
OLI226	1
OLI227	2
OLI228	1
OLI229	1
OLI230	0
OLI231	0
OLI232	0
OLI233	0
OLI234	0
OLI235	0
OLI236	0
OLI237	0
OLI238	0
OLI239	2
OLI240	2
OLI241	3
OLI242	1
OLI243	2
OLI244	1
OLI245	0
OLI246	0
OLI247	0
OLI248	1
OLI249	1
OLI250	2
OLI251	1
OLI252	0
OLI253	3
OLI254	2
OLI255	0
OLI256	0
OLI257	0
OLI258	1
OLI259	2
OLI260	0
OLI261	0
OLI262	0
OLI263	0
OLI264	0
OLI265	2
OLI266	1
OLI267	0
OLI268	0
OLI269	1
OLI270	0
OLI271	0
OLI272	0
OLI273	0
OLI274	1
OLI275	0
OLI276	0
OLI277	0
OLI278	0
OLI279	0
OLI280	1
OLI281	0
OLI282	0
OLI283	0
OLI284	0
OLI285	0
OLI286	0
OLI287	0
OLI288	0
OLI289	0
OLI290	2
OLI291	1
OLI292	3
OLI293	1
OLI294	3
OLI295	3
OLI296	0
OLI297	1
OLI298	3
OLI299	0
OLI300	0
OLI301	0
OLI302	2
OLI303	1
OLI304	1
OLI305	1
OLI306	1
OLI307	2
OLI308	0
OLI309	1
OLI310	0
OLI311	0
OLI312	1
OLI313	0
OLI314	0
OLI315	1
OLI316	0
OLI317	1
OLI318	1
OLI319	1
OLI320	2
OLI321	1
OLI322	0
OLI323	0
OLI324	0
OLI325	0
OLI326	1
OLI327	1
OLI328	0
OLI329	0
OLI330	0
OLI331	0
OLI332	0
OLI333	0
OLI334	0
OLI335	0
OLI336	0
OLI337	0
OLI338	0
OLI339	0
OLI340	0
OLI341	0
OLI342	0
OLI343	0
OLI344	0
OLI345	0
OLI346	0
OLI347	0
OLI348	0
OLI349	0
OLI350	0
OLI351	0
OLI352	0
OLI353	0
OLI354	0
OLI355	0
OLI356	1
OLI357	0
OLI358	0
OLI359	0
OLI360	1
OLI361	0
OLI362	1
OLI363	0
OLI364	0
OLI365	1
OLI366	0
OLI367	1
OLI368	1
OLI369	1
OLI370	1
OLI371	1
OLI372	1
OLI373	0
OLI374	0
OLI375	0
OLI376	2
OLI377	1
OLI378	2
OLI379	2
OLI380	2
OLI381	1
OLI382	0
OLI383	1
OLI384	1
OLI385	1
OLI386	1
OLI387	1
OLI388	1
OLI389	0
OLI390	0
OLI391	1
OLI392	0
OLI393	1
OLI394	1
OLI395	0
OLI396	1
OLI397	1
OLI398	1
OLI399	1
OLI400	1
OLI401	0
OLI402	1
OLI403	0
OLI404	1
OLI405	1
OLI406	0
OLI407	3
OLI408	2
OLI409	1
OLI410	1
OLI411	0
OLI412	2
OLI413	1
OLI414	2
OLI415	1
OLI416	2
OLI417	0
OLI418	1
OLI419	1
OLI420	0
OLI421	0
OLI422	0
OLI423	0
OLI424	0
OLI425	0
OLI426	1
OLI427	0
OLI428	1
OLI429	0
OLI430	0
OLI431	0
OLI432	0
OLI433	0
OLI434	0
OLI435	0
OLI436	0
OLI437	0
OLI438	0
OLI439	0
OLI440	1
OLI441	0
OLI442	0
OLI443	1
OLI444	0
OLI445	2
OLI446	0
OLI447	0
OLI448	0
OLI449	0
OLI450	0
OLI451	0
OLI452	1
OLI453	1
OLI454	1
OLI455	0
OLI456	0
OLI457	0
OLI458	2
OLI459	0
OLI460	2
OLI461	0
OLI462	0
OLI463	0
OLI464	0
OLI465	1
OLI466	1
OLI467	1
OLI468	0
OLI469	0
OLI470	0
OLI471	1
OLI472	0
OLI473	1
OLI474	1
OLI475	0
OLI476	0
OLI477	0
OLI478	1
OLI479	0
OLI480	1
OLI481	0
OLI482	1
OLI483	0
OLI484	0
OLI485	0
OLI486	0
