Combination_ID	CADD1	CADD2	CADD3	CADD4	BiolDist	ISPP_AR_A	ISPP_AR_B	ISPP_AD_A	ISPP_AD_B	ISPP_XL_A	HIPred_A	HIPred_B	dn_ds_A	BPO_sim	KG_dist
OLI001	2.082	-3	3.828	-3	42.012	0.651	0.031	0.019	0.006	-0.5	0.476	0.219	0.246	0.007	1.5
OLI002	5.298	-3	3.181	-3	10.747	0.032	0.015	0.745	0.654	-0.5	0.749	0.715	0.251	0.214	1.0
OLI007	4.442	4.442	4.018	4.018	19.776	0.025	0.053	0.111	0.022	-0.5	0.792	0.465	0.15	0.02	1.0
OLI008	4.248	-3	3.6	-3	5.81	0.763	0.722	0.006	0.025	-0.5	0.564	0.17	0.223	0.312	1.0
OLI009	2.548	-3	3.724	-3	11.672	0.028	0.814	0.68	0.016	-0.5	0.853	0.3	0.258	0.198	1.0
OLI010	1.67	-3	4.225	-3	11.672	0.028	0.814	0.68	0.016	-0.5	0.853	0.3	0.258	0.198	1.0
OLI011	2.278	-3	2.963	-3	11.672	0.028	0.814	0.68	0.016	-0.5	0.853	0.3	0.258	0.198	1.0
OLI012	2.092	-3	2.963	-3	11.672	0.028	0.814	0.68	0.016	-0.5	0.853	0.3	0.258	0.198	1.0
OLI013	3.745	-3	2.371	-3	NaN	0.745	0.072	0.021	0.016	-0.5	0.342	0.473	0.175	0.144	2.0
OLI014	0.564	-3	4.421	-3	32.461	0.086	0.008	0.638	0.0	-0.5	0.476	0.296	0.207	0.024	1.5
OLI015	4.79	-3	3.526	-3	1.087	0.742	0.617	0.006	0.056	-0.5	0.578	0.702	0.118	0.697	1.0
OLI016	3.693	2.887	4.27	-3	40.494	0.68	0.098	0.0	0.046	-0.5	0.329	0.591	0.315	0.005	2.0
OLI018	3.597	-3	4.051	-3	12.481	0.599	0.017	0.009	0.029	-0.5	0.694	0.55	0.295	0.146	1.0
OLI019	3.757	-3	3.833	-3	11.724	0.549	0.048	0.099	0.18	-0.5	0.639	0.792	0.042	0.032	1.0
OLI021	5.113	-3	3.894	-3	1.002	0.011	0.016	0.172	0.788	-0.5	0.806	0.751	0.238	0.288	1.0
OLI022	1.97	-3	3.487	-3	6.919	0.026	0.052	0.604	0.045	-0.5	0.627	0.596	0.235	0.148	1.0
OLI023	3.909	-3	4.216	-3	4.084	0.043	0.099	0.035	0.092	-0.5	0.651	0.707	0.06	0.673	1.0
OLI024	1.913	-3	4.058	-3	1.143	0.057	0.719	0.061	0.006	-0.5	NaN	0.562	0.287	0.505	1.0
OLI026	4.104	4.104	3.07	3.07	10.263	0.742	0.031	0.042	0.019	-0.5	0.498	0.112	0.214	0.049	1.0
OLI028	3.705	-3	4.289	-3	16.798	0.009	0.025	0.013	0.006	-0.5	0.123	0.532	0.837	0.012	1.5
OLI030	3.967	-3	3.898	-3	NaN	0.085	0.089	0.033	0.044	-0.5	0.214	0.755	0.885	0.931	1.0
OLI032	3.512	3.512	4.059	4.059	1.233	0.057	0.071	0.041	0.0	-0.5	0.581	0.241	0.199	0.978	1.0
OLI033	3.919	-3	2.289	-3	1.089	0.114	0.013	0.021	0.0	-0.5	0.474	0.605	0.726	0.762	1.0
OLI035	1.185	-3	1.719	-3	9.499	0.011	0.081	0.172	0.108	-0.5	0.806	0.761	0.238	0.247	1.0
OLI036	4.289	-3	4.055	-3	8.398	0.048	0.008	0.18	0.0	-0.5	0.792	0.296	0.132	0.049	1.0
OLI038	3.321	-3	8.447	3.875	6.488	0.178	0.755	0.717	0.041	-0.5	0.208	0.132	0.404	0.337	1.0
OLI039	3.321	-3	3.875	3.875	6.488	0.178	0.755	0.717	0.041	-0.5	0.208	0.132	0.404	0.337	1.0
OLI040	5.909	5.909	7.288	7.288	1.233	0.057	0.071	0.041	0.0	-0.5	0.581	0.241	0.199	0.978	1.0
OLI044	3.512	-3	4.162	4.162	NaN	0.723	0.733	0.0	0.016	-0.5	0.342	0.234	0.258	0.63	1.0
OLI046	2.896	-3	4.871	4.162	NaN	0.723	0.733	0.0	0.016	-0.5	0.342	0.234	0.258	0.63	1.0
OLI047	3.697	-3	4.871	4.162	NaN	0.723	0.733	0.0	0.016	-0.5	0.342	0.234	0.258	0.63	1.0
OLI048	7.624	-3	5.093	4.162	NaN	0.723	0.733	0.0	0.016	-0.5	0.342	0.234	0.258	0.63	1.0
OLI050	4.075	-3	4.612	4.162	NaN	0.723	0.733	0.0	0.016	-0.5	0.342	0.234	0.258	0.63	1.0
OLI052	2.442	-3	0.802	0.463	12.964	0.757	0.709	0.0	0.025	-0.5	0.539	0.146	0.271	0.052	1.0
OLI053	1.449	-3	1.937	-3	12.798	0.616	0.692	0.014	0.0	-0.5	0.473	0.492	0.147	0.363	1.0
OLI055	5.242	3.709	0.44	-3	30.146	0.692	0.709	0.0	0.025	-0.5	0.492	0.146	0.186	0.18	1.0
OLI058	2.871	-3	3.37	-3	30.146	0.692	0.709	0.0	0.025	-0.5	0.492	0.146	0.186	0.18	1.0
OLI062	2.461	-3	3.875	3.875	1.002	0.831	0.755	0.006	0.041	-0.5	0.415	0.132	0.42	0.31	1.0
OLI065	4.211	-3	3.875	3.875	1.001	0.654	0.755	0.0	0.041	-0.5	0.372	0.132	0.363	0.447	1.0
OLI067	5.518	-3	7.813	7.023	2.07	0.658	0.654	0.0	0.0	-0.5	0.498	0.372	0.686	0.648	1.0
OLI068	3.978	-3	3.32	-3	5.485	0.031	0.062	0.764	0.707	-0.5	0.632	0.492	0.139	0.027	2.0
OLI074	4.572	-3	1.518	-3	18.284	0.006	0.008	0.0	0.0	-0.5	0.17	0.17	0.353	NaN	1.0
OLI075	4.88	-3	3.035	-3	9.791	0.048	0.019	0.18	0.714	-0.5	0.792	0.704	0.132	0.19	1.0
OLI077	4.133	4.133	1.787	1.787	1.01	0.07	0.0	0.115	0.013	-0.5	0.833	0.701	0.04	0.188	1.0
OLI090	4.421	-3	4.461	-3	20.608	0.021	0.0	0.01	0.013	-0.5	0.523	0.182	0.594	0.094	2.0
OLI091	3.739	-3	4.318	-3	NaN	0.738	NaN	0.047	NaN	-0.5	0.575	0.285	0.436	NaN	3.0
OLI093	2.267	-3	1.772	0.287	27.025	0.0	0.012	0.031	0.727	-0.5	0.517	0.123	0.516	0.039	1.5
OLI096	3.836	-3	5.471	-3	4.145	0.028	0.046	0.073	0.674	-0.5	0.676	0.809	0.205	0.703	1.0
