Combination_ID	CADD1	CADD2	CADD3	CADD4	Biol_Dist	ISPP_AR_A	ISPP_AR_B	ISPP_AD_A	ISPP_AD_B	ISPP_XL_A	ISPP_XL_B	HIPred_A	HIPred_B	dn_ds_A	dn_ds_B	BP_similarity	MF_similarity	Mentha_dist	KG_dist	Coexpression
testneg_1	-0.442	-3	1.051	-3	None	0.064	0.059	0.013	0.006	-0.5	-0.5	0.276	0.123	1.975	0.933	None	None	52.222	1.333	0.205
testneg_2	2.232	-3	0.916	-3	12.539	0.036	0.006	0.016	0.0	-0.5	-0.5	0.554	0.112	0.206	1.145	0.0	0.894	16.949	1.0	-0.344
testneg_3	0.095	-3	0.353	-3	10.833	0.718	0.013	0.023	0.0	-0.5	-0.5	0.599	0.112	0.271	0.404	0.0	0.849	27.89	1.0	-0.766
testneg_4	2.387	-3	0.538	-3	None	0.089	None	0.012	None	-0.5	-0.5	0.372	None	0.2	None	0.049	0.27	None	None	None
testneg_5	-0.006	-3	-0.224	-3	21.389	0.025	0.085	0.727	0.0	-0.5	-0.5	0.659	0.618	0.257	0.393	0.035	0.342	33.118	2.0	None
testneg_6	1.17	-3	1.17	0.141	23.639	0.031	0.033	0.006	0.0	-0.5	-0.5	0.752	0.36	0.172	0.411	None	0.002	30.348	3.0	-0.766
testneg_7	0.419	-3	0.419	-0.428	None	0.083	0.026	0.0	0.025	-0.5	-0.5	0.372	0.369	0.333	1.081	0.022	0.0	51.858	1.5	None
testneg_8	-0.215	-3	0.26	-3	None	0.069	0.69	0.665	0.025	-0.5	-0.5	0.674	0.393	0.26	0.259	None	0.019	34.359	1.0	0.817
testneg_9	0.703	-3	0.591	-3	23.149	0.019	0.661	0.0	0.122	-0.5	-0.5	0.162	0.382	0.413	0.352	0.031	None	37.68	1.5	-0.133
testneg_10	1.402	-3	2.348	-3	13.178	0.025	0.038	0.061	0.06	-0.5	-0.5	0.806	0.187	0.053	0.509	0.009	0.277	27.164	1.0	-0.407
testneg_11	0.687	-3	-0.478	-0.673	None	0.666	0.006	0.034	0.0	-0.5	-0.5	0.493	None	0.692	0.622	None	None	51.407	None	None
testneg_12	-0.175	-1.519	-0.162	-3	21.581	0.688	0.097	0.0	0.006	-0.5	-0.5	0.17	0.37	0.82	0.566	0.011	0.0	53.39	1.5	None
testneg_13	1.954	-3	1.954	1.151	10.833	0.0	0.013	0.024	0.0	0.907	-0.5	0.56	0.464	0.33	0.256	0.169	0.534	None	1.0	0.838
testneg_14	-0.317	-3	0.418	-3	10.608	0.016	0.0	0.066	0.009	-0.5	-0.5	0.685	0.659	0.132	0.422	None	0.816	45.873	1.0	2.421
testneg_15	0.9	-3	1.643	-3	29.689	0.028	0.013	0.025	0.01	-0.5	-0.5	0.218	0.783	2.198	0.255	0.152	0.613	50.338	1.0	-0.238
testneg_16	2.653	-3	0.232	-3	19.444	0.646	0.061	0.0	0.023	-0.5	-0.5	0.473	0.523	0.3	0.129	0.002	0.026	None	1.5	-0.154
testneg_17	0.212	-3	0.147	-3	16.792	0.111	0.038	0.028	0.0	-0.5	-0.5	0.706	0.241	0.15	0.599	0.006	0.281	19.907	1.0	-0.449
testneg_18	0.285	-3	3.597	-3	12.312	0.035	0.036	0.028	0.016	-0.5	-0.5	0.706	0.377	0.259	0.473	0.075	0.31	75.863	1.0	2.294
testneg_19	-0.573	-3	0.048	-0.231	None	0.006	0.006	0.01	0.01	-0.5	-0.5	0.771	0.123	0.227	0.784	0.0	0.846	26.497	1.0	-1.272
testneg_20	0.576	-3	0.466	-3	14.277	0.01	0.708	0.023	0.028	-0.5	-0.5	0.696	0.196	0.144	0.466	0.011	0.253	24.348	1.0	0.099
testneg_21	3.554	-3	0.099	-3	None	0.046	0.03	0.013	0.022	-0.5	-0.5	0.27	0.334	0.516	0.199	0.003	0.008	None	1.5	1.112
testneg_22	2.103	-3	0.164	-3	None	0.019	0.0	0.067	0.009	-0.5	-0.5	0.575	0.112	0.162	0.856	None	None	None	1.0	None
testneg_23	3.308	-3	3.062	-3	19.032	0.044	0.051	0.585	0.019	-0.5	-0.5	0.853	0.707	0.302	0.531	0.002	0.598	44.085	1.0	-0.766
testneg_24	3.634	-3	0.808	-3	19.444	0.069	0.029	0.0	0.0	-0.5	-0.5	0.448	0.324	0.349	0.263	0.0	0.743	50.252	1.0	-0.47
testneg_25	3.526	-3	0.214	-3	10.417	0.081	0.027	0.0	0.006	-0.5	-0.5	0.756	0.783	0.192	0.144	0.219	0.804	31.506	1.0	4.257
testneg_26	0.484	-0.128	-0.043	-3	6.845	0.049	0.053	0.013	0.0	-0.5	-0.5	0.54	0.694	0.348	0.305	0.086	0.215	38.144	1.0	None
testneg_27	0.156	-3	-0.07	-3	14.388	0.086	0.0	0.08	0.82	-0.5	-0.5	None	0.739	0.102	0.512	0.042	0.573	23.886	2.0	-1.547
testneg_28	2.571	-3	-0.224	-3	10.229	0.013	0.025	0.006	0.0	-0.5	-0.5	0.595	0.257	0.164	0.794	0.0	0.542	38.004	1.0	1.302
testneg_29	2.817	-3	1.286	-3	13.768	0.006	0.725	0.024	0.034	-0.5	-0.5	0.728	0.518	0.1	0.716	0.132	0.333	31.081	1.0	None
testneg_30	0.542	-3	0.055	-3	20.0	0.022	0.013	0.006	0.022	-0.5	-0.5	0.173	0.123	1.093	0.49	0.023	0.942	30.57	1.0	0.5
testneg_31	0.154	0.154	1.312	-3	16.768	0.0	0.047	0.0	0.0	0.019	-0.5	0.172	0.23	0.59	0.79	0.0	None	40.807	1.333	0.099
testneg_32	2.994	-3	1.078	-3	33.405	0.019	0.062	0.037	0.036	-0.5	-0.5	0.733	None	0.221	0.276	0.061	0.021	28.137	1.5	1.387
testneg_33	1.985	-3	2.403	-3	None	0.087	0.0	0.013	0.0	-0.5	-0.5	0.362	None	0.42	0.361	None	0.933	25.928	1.0	-0.829
testneg_34	0.759	-3	-0.524	-3	10.0	0.802	0.029	0.019	0.013	-0.5	-0.5	0.652	0.502	0.485	0.43	0.005	0.042	23.638	1.0	None
testneg_35	-1.586	-3	3.251	-3	11.875	0.006	0.025	0.667	0.006	-0.5	0.934	0.741	0.372	0.299	0.886	0.004	0.409	43.271	1.0	-0.977
testneg_36	0.373	0.373	0.185	-3	10.417	0.713	0.006	0.026	0.076	-0.5	-0.5	0.466	0.825	0.297	0.273	0.053	0.342	None	1.0	-1.083
testneg_37	0.637	-3	0.801	-3	6.944	0.539	0.231	0.134	0.041	-0.5	-0.5	0.831	0.292	0.093	0.291	0.013	0.827	6.902	1.0	0.606
testneg_38	-1.319	-3	1.503	-3	None	0.006	0.047	0.0	0.567	-0.5	-0.5	0.38	0.146	0.229	0.356	None	None	60.005	1.0	None
testneg_39	0.061	-3	0.67	-3	19.768	0.051	0.126	0.006	0.035	-0.5	-0.5	0.55	0.133	0.454	0.511	0.002	0.533	57.501	1.0	0.099
testneg_40	0.002	-3	3.967	-3	11.875	0.006	0.739	0.006	0.016	-0.5	-0.5	0.284	0.289	0.522	0.057	0.006	0.66	30.899	1.0	-0.344
testneg_41	3.949	-3	0.539	-3	20.4	0.624	0.084	0.0	0.01	-0.5	-0.5	0.459	0.715	0.162	0.36	0.013	None	30.399	1.5	0.796
testneg_42	3.705	-3	2.597	-3	25.556	0.025	0.052	0.013	0.038	-0.5	-0.5	0.145	0.3	0.788	0.17	0.003	0.803	35.468	1.0	None
testneg_43	1.054	-3	4.022	-3	15.413	0.032	0.041	0.0	0.0	-0.5	-0.5	0.765	0.436	0.071	0.433	0.064	None	12.048	2.0	0.31
testneg_44	-0.481	-3	0.337	-3	5.694	0.742	0.121	0.0	0.623	-0.5	-0.5	0.568	0.469	0.819	0.589	0.017	0.875	8.76	1.0	None
testneg_45	1.775	-3	3.981	-3	10.833	0.092	0.061	0.09	0.026	-0.5	-0.5	0.513	0.771	0.384	0.203	0.051	0.58	38.57	1.0	0.606
testneg_46	0.582	-3	1.067	-0.379	None	0.013	0.052	0.0	0.032	-0.5	-0.5	0.554	0.273	0.31	0.535	0.032	0.009	59.059	1.0	1.112
