Combination_ID	CADD1	CADD2	CADD3	CADD4	Biol_Dist	ISPP_AR_A	ISPP_AR_B	ISPP_AD_A	ISPP_AD_B	ISPP_XL_A	ISPP_XL_B	HIPred_A	HIPred_B	dn_ds_A	dn_ds_B	BP_similarity	MF_similarity	Mentha_dist	KG_dist	Coexpression
testpos_1	5.956	-3	1.511	-3	13.819	0.006	0.588	0.108	0.013	-0.5	-0.5	0.786	0.17	0.243	0.442	0.002	0.703	27.606	1.0	-0.091
testpos_2	2.771	-3	2.943	-3	17.218	0.24	0.668	0.662	0.006	-0.5	-0.5	0.414	0.544	0.302	0.148	0.039	0.604	32.009	1.0	None
testpos_3	8.363	-3	2.492	-3	1.25	0.06	0.106	0.755	0.016	-0.5	-0.5	0.698	0.694	0.092	0.234	0.467	0.057	49.928	1.0	-1.737
testpos_4	3.472	-3	1.534	-3	None	0.098	0.0	0.688	0.049	-0.5	None	0.639	0.784	0.173	0.224	0.02	0.038	34.001	1.0	-1.504
testpos_5	3.09	1.385	2.227	-3	1.25	0.06	0.106	0.755	0.016	-0.5	-0.5	0.698	0.694	0.092	0.234	0.467	0.057	49.928	1.0	-1.737
testpos_6	3.351	1.448	0.831	-3	19.444	0.778	0.107	0.031	0.666	-0.5	-0.5	0.324	0.683	0.714	0.298	0.239	0.645	32.44	1.0	None
testpos_7	4.123	-3	4.39	-3	1.111	0.114	0.066	0.021	0.034	-0.5	-0.5	0.474	0.575	0.726	0.679	0.317	0.627	239.668	1.0	28.273
testpos_8	4.271	-3	2.047	-3	1.111	0.114	0.066	0.021	0.034	-0.5	-0.5	0.474	0.575	0.726	0.679	0.317	0.627	239.668	1.0	28.273
testpos_9	4.197	-3	3.447	-3	1.111	0.114	0.066	0.021	0.034	-0.5	-0.5	0.474	0.575	0.726	0.679	0.317	0.627	239.668	1.0	28.273
testpos_10	5.547	-3	3.447	-3	1.111	0.114	0.066	0.021	0.034	-0.5	-0.5	0.474	0.575	0.726	0.679	0.317	0.627	239.668	1.0	28.273
testpos_11	4.34	-3	2.641	-3	10.799	0.031	0.013	0.764	0.024	-0.5	-0.5	0.632	0.397	0.139	0.26	0.102	0.345	26.168	1.0	1.935
testpos_12	3.618	-3	2.315	-3	16.802	0.157	0.16	0.078	0.028	-0.5	-0.5	0.68	0.197	0.325	0.261	0.002	0.093	43.896	1.0	0.986
testpos_13	3.224	-3	2.231	-3	6.944	0.038	0.046	0.116	0.674	-0.5	-0.5	0.711	0.809	0.13	0.055	0.495	0.536	25.992	1.0	2.801
testpos_14	4.395	-3	4.232	-3	5.0	0.038	0.071	0.013	0.0	-0.5	-0.5	0.551	0.241	0.46	0.25	0.117	0.394	None	1.0	None
testpos_15	3.399	-3	1.732	-3	5.0	0.038	0.071	0.013	0.0	-0.5	-0.5	0.551	0.241	0.46	0.25	0.117	0.394	None	1.0	None
testpos_16	4.178	-3	5.307	-3	5.0	0.038	0.071	0.013	0.0	-0.5	-0.5	0.551	0.241	0.46	0.25	0.117	0.394	None	1.0	None
testpos_17	6.625	-3	6.099	-3	12.8	0.071	0.8	0.0	0.009	-0.5	-0.5	0.241	0.546	0.25	0.594	0.298	0.313	None	1.0	2.421
testpos_18	5.307	-3	7.561	-3	12.8	0.071	0.8	0.0	0.009	-0.5	-0.5	0.241	0.546	0.25	0.594	0.298	0.313	None	1.0	2.421
testpos_19	5.572	-3	4.08	-3	1.25	0.599	0.071	0.0	0.0	-0.5	-0.5	0.207	0.241	0.374	0.25	0.189	0.371	None	1.0	26.036
testpos_20	5.572	-3	3.302	-3	1.25	0.599	0.071	0.0	0.0	-0.5	-0.5	0.207	0.241	0.374	0.25	0.189	0.371	None	1.0	26.036
testpos_21	2.877	-3	2.775	-3	22.067	0.599	0.8	0.0	0.009	-0.5	-0.5	0.207	0.546	0.374	0.594	0.066	0.449	None	1.0	1.809
testpos_22	4.0	-3	2.574	-3	None	0.008	0.0	0.0	0.049	-0.5	None	0.296	0.784	0.161	0.224	0.011	0.616	58.775	1.0	None
testpos_23	4.361	4.361	6.415	4.361	4.444	0.078	0.118	0.013	0.018	-0.5	-0.5	0.112	0.112	0.703	0.752	0.945	0.898	None	1.0	20.633
testpos_24	2.901	-3	3.939	-3	18.889	0.714	0.071	0.006	0.0	-0.5	-0.5	0.489	0.241	0.378	0.25	0.525	0.561	None	1.0	0.163
testpos_25	4.154	-3	3.011	-3	12.8	0.071	0.8	0.0	0.009	-0.5	-0.5	0.241	0.546	0.25	0.594	0.298	0.313	None	1.0	2.421
testpos_26	4.941	-3	2.318	-3	12.8	0.071	0.8	0.0	0.009	-0.5	-0.5	0.241	0.546	0.25	0.594	0.298	0.313	None	1.0	2.421
testpos_27	4.495	-3	1.768	-3	12.8	0.071	0.8	0.0	0.009	-0.5	-0.5	0.241	0.546	0.25	0.594	0.298	0.313	None	1.0	2.421
